strain	value
129S1/SvImJ	1.546
129S1/SvImJ	2.062
129S1/SvImJ	2.176
129S1/SvImJ	2.72
129S1/SvImJ	1.632
129S1/SvImJ	1.718
129S1/SvImJ	1.546
129S1/SvImJ	2.291
129S1/SvImJ	1.904
129S1/SvImJ	1.833
129T2/SvEms	1.313
129T2/SvEms	0.919
129T2/SvEms	1.313
129T2/SvEms	1.772
129T2/SvEms	1.444
129T2/SvEms	1.673
129T2/SvEms	1.395
129T2/SvEms	1.477
129T2/SvEms	1.772
129X1/SVJ	1.313
129X1/SVJ	1.181
129X1/SVJ	0.919
129X1/SVJ	1.034
129X1/SVJ	1.148
129X1/SVJ	1.969
129X1/SVJ	1.181
129X1/SVJ	1.034
129X1/SVJ	1.391
129X1/SVJ	1.309
129X1/SVJ	1.289
129X1/SVJ	1.473
129X1/SVJ	1.145
A/J	1.575
A/J	1.181
A/J	1.477
A/J	1.148
A/J	1.034
A/J	0.919
A/J	0.886
A/J	1.107
A/J	1.034
AKR/J	1.89
AKR/J	2.275
AKR/J	1.89
AKR/J	1.89
AKR/J	2.275
AKR/J	1.68
AKR/J	2.52
AKR/J	1.89
AKR/J	2.1
Balb/cByJ	1.838
Balb/cByJ	1.838
Balb/cByJ	1.575
Balb/cByJ	2.517
Balb/cByJ	1.818
Balb/cByJ	1.678
Balb/cByJ	2.203
Balb/cJ	1.639
Balb/cJ	1.414
Balb/cJ	1.085
Balb/cJ	1.543
Balb/cJ	1.157
Balb/cJ	1.157
Balb/cJ	1.029
BPH/2J	1.429
BPH/2J	1.429
BPH/2J	1.039
BPH/2J	1.429
BPH/2J	1.299
BPH/2J	0.909
BPH/2J	1.461
BPH/2J	1.754
BPL/1J	0.779
BPL/1J	0.877
BPL/1J	0.739
BPL/1J	0.779
BPL/1J	1.039
BPL/1J	1.105
BPL/1J	0.818
BPL/1J	1.289
BPN/3J	0.859
BPN/3J	0.614
BPN/3J	0.736
BPN/3J	0.491
BPN/3J	0.582
BPN/3J	0.721
BPN/3J	0.594
BPN/3J	0.721
BPN/3J	0.594
BPN/3J	0.779
BPN/3J	0.909
BPN/3J	0.585
BPN/3J	0.909
BUB/BnJ	0.804
BUB/BnJ	1.206
BUB/BnJ	1.206
BUB/BnJ	1.072
BUB/BnJ	1.139
BUB/BnJ	1.282
C3H/HeJ	1.26
C3H/HeJ	1.733
C3H/HeJ	1.607
C3H/HeJ	1.512
C3H/HeJ	1.386
C3H/HeJ	1.512
C3H/HeJ	1.181
C3H/HeJ	1.701
C3H/HeJ	1.512
C3H/HeJ	1.607
C57BL/10J	1.05
C57BL/10J	1.313
C57BL/10J	1.034
C57BL/10J	1.05
C57BL/10J	1.148
C57BL/10J	1.05
C57BL/10J	0.919
C57BL/10J	1.034
C57BL/6J	1.263
C57BL/6J	1.083
C57BL/6J	1.034
C57BL/6J	0.984
C57BL/6J	0.96
C57BL/6J	0.738
C57BL/6J	0.984
C57BL/6J	0.984
C57BL/6J	0.984
C57BL/6J	0.707
C57BL/6J	0.884
C57BL/6J	1.414
C57BL/6J	1.125
C57BL/6J	0.804
C57BL/6J	0.9
C57BL/6J	1.061
C57BL/6J	1.013
C57BL/6J	1.125
C57BL/6J	1.013
C57BL/6J	0.98
C57BL/6J	0.7
C57BL/6J	0.63
C57BL/6J	0.787
C57BL/6J	1.181
C57BL/6J	0.98
C57BL/6J	0.98
C57BL/6J	1.4
C57BL/6J	0.84
C57BL/6J	1.47
C57BL/6J	0.804
C57BL/6J	0.938
C57BL/6J	1.089
C57BL/6J	1.056
C57BL/6J	1.29
C57BL/6J	1.005
C57BL/6J	0.829
C57BL/6J	1.173
C57BL/6J	0.905
C57BL/6J	0.938
C57BL/6J	0.945
C57BL/6J	1.134
C57BL/6J	0.819
C57BL/6J	0.756
C57BL/6J	1.008
